City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Cheremnoye,RU,2/12/2022 7:56,53.1697,83.2133,3.79,90,71,6.96,broken clouds
146,Letnyaya Stavka,RU,2/12/2022 7:56,45.4306,43.4472,44.31,62,25,10.4,scattered clouds
147,Polunochnoye,RU,2/12/2022 7:56,60.8697,60.4153,5.41,86,100,4.94,overcast clouds
148,Surin,TH,2/12/2022 7:56,14.8818,103.4936,93.9,61,45,4.45,scattered clouds
149,Souillac,MU,2/12/2022 7:56,-20.5167,57.5167,84.36,78,40,13.8,light rain
150,Cherskiy,RU,2/12/2022 7:56,68.75,161.3,-27.54,98,100,7.76,overcast clouds
151,Charlestown,AU,2/12/2022 7:56,-32.95,151.6667,74.21,65,47,7,scattered clouds
152,Yamada,JP,2/12/2022 7:56,39.4667,141.95,35.35,76,79,6.33,broken clouds
153,Mandalgovi,MN,2/12/2022 7:56,45.7625,106.2708,2.77,59,100,2.3,overcast clouds
154,Lamar,US,2/12/2022 7:56,33.6668,-95.5836,55.06,52,100,15.17,overcast clouds
155,Eureka,US,2/12/2022 7:56,40.8021,-124.1637,51.19,69,0,2.68,clear sky
156,Airai,TL,2/12/2022 7:56,-8.9266,125.4092,67.26,87,96,2.04,overcast clouds
157,Bow Island,CA,2/12/2022 7:56,49.8668,-111.3684,28.42,61,87,13.8,overcast clouds
158,Aktash,RU,2/12/2022 7:56,50.3,87.7333,-0.83,66,0,5.66,clear sky
159,Jasper,US,2/12/2022 7:56,37.2001,-94.3502,31.44,56,100,10,overcast clouds
160,Road Town,VG,2/12/2022 7:51,18.4167,-64.6167,73.99,69,16,22.68,few clouds
161,Windhoek,NA,2/12/2022 7:55,-22.5594,17.0832,63.09,88,75,6.91,broken clouds
162,Brownsville,US,2/12/2022 7:52,25.9018,-97.4975,65.01,88,100,0,overcast clouds
163,New Norfolk,AU,2/12/2022 7:56,-42.7826,147.0587,69.89,44,90,1.01,overcast clouds
164,Pudozh,RU,2/12/2022 7:56,61.8099,36.5345,17.83,94,100,7.92,overcast clouds
165,Bengkulu,ID,2/12/2022 7:56,-3.8004,102.2655,83.95,67,100,8.05,overcast clouds
166,Ugoofaaru,MV,2/12/2022 7:56,5.6667,73,80.92,79,100,13.8,moderate rain
167,Taseyevo,RU,2/12/2022 7:56,57.2169,94.8978,5.97,81,76,6.02,broken clouds
168,Fairbanks,US,2/12/2022 7:55,64.8378,-147.7164,-0.02,79,0,0,clear sky
169,Santa Isabel Do Rio Negro,BR,2/12/2022 7:56,-0.4139,-65.0192,71.53,98,100,1.83,overcast clouds
170,Batagay,RU,2/12/2022 7:56,67.6333,134.6333,-29.06,96,95,3.53,overcast clouds
171,Jertih,MY,2/12/2022 7:56,5.7336,102.4897,82.27,88,100,2.51,overcast clouds
172,Chapais,CA,2/12/2022 7:56,49.7834,-74.8492,6.58,94,100,13.82,light snow
173,Yuancheng,CN,2/12/2022 7:56,36.652,107.7896,33.94,73,100,4.12,overcast clouds
174,Hobyo,SO,2/12/2022 7:56,5.3505,48.5268,81.57,52,90,18.32,overcast clouds
175,San Patricio,US,2/12/2022 7:56,28.017,-97.5169,62.89,94,0,6.46,clear sky
176,Ribas Do Rio Pardo,BR,2/12/2022 7:56,-20.4431,-53.7592,70.79,87,5,2.26,clear sky
177,Takoradi,GH,2/12/2022 7:56,4.8845,-1.7554,81.32,78,96,9.04,overcast clouds
178,Tenosique,MX,2/12/2022 7:56,17.4833,-91.4333,68.16,92,2,7,clear sky
179,Namatanai,PG,2/12/2022 7:56,-3.6667,152.4333,79.66,80,100,2.75,moderate rain
180,Rocha,UY,2/12/2022 7:56,-34.4833,-54.3333,66.16,98,100,3.67,light rain
181,Torbay,CA,2/12/2022 7:56,47.6666,-52.7314,32.58,90,40,18.41,scattered clouds
182,Ancud,CL,2/12/2022 7:56,-41.8697,-73.8203,54.93,83,91,5.06,overcast clouds
183,Talcahuano,CL,2/12/2022 7:56,-36.7167,-73.1167,57.56,56,0,5.77,clear sky
184,Carahue,CL,2/12/2022 7:56,-38.7,-73.1667,59.2,64,1,2.3,clear sky
185,Baiao,BR,2/12/2022 7:56,-2.7906,-49.6717,71.47,99,99,1.88,moderate rain
186,Nanortalik,GL,2/12/2022 7:56,60.1432,-45.2371,29.55,75,100,14.61,overcast clouds
187,Broome,US,2/12/2022 7:56,42.2506,-75.833,47.77,64,100,1.99,overcast clouds
188,Kukuna,SL,2/12/2022 7:56,9.4,-12.6667,71.42,76,99,2.68,overcast clouds
189,Macatuba,BR,2/12/2022 7:56,-22.5022,-48.7114,65.82,90,3,8.19,clear sky
190,Seymchan,RU,2/12/2022 7:56,62.8833,152.4333,-37.55,100,37,0.87,scattered clouds
191,Labranzagrande,CO,2/12/2022 7:56,5.5622,-72.575,66.83,85,100,2.33,overcast clouds
192,Ranau,MY,2/12/2022 7:56,5.9538,116.6641,73.35,78,56,2.66,broken clouds
193,Jumla,NP,2/12/2022 7:56,29.2747,82.1838,50.32,55,0,4.41,clear sky
194,Margate,GB,2/12/2022 7:56,51.3813,1.3862,42.91,83,45,8.01,scattered clouds
195,Hambantota,LK,2/12/2022 7:56,6.1241,81.1185,89.94,66,40,8.05,scattered clouds
